figure_id,pdf_page,status,match_score,second_best_score,page_image,adversarial_image,message,,,
fig_089,3,ok,0.839958,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_089_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_089_page_adverserial.png,template,,,
fig_090,7,ok,0.947117,0.543191,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_090_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_090_page_adverserial.png,template,,,
fig_091,3,ok,0.876002,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_091_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_091_page_adverserial.png,template,,,
fig_092,7,ok,0.911877,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_092_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_092_page_adverserial.png,template,,,
fig_093,8,ok,0.67727,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_093_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_093_page_adverserial.png,template,,,
fig_094,8,ok,0.926948,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_094_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_094_page_adverserial.png,template,,,
fig_095,30,ok,0.88238,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_095_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_095_page_adverserial.png,template,,,
fig_096,6,ok,0.772934,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_096_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_096_page_adverserial.png,template,,,
fig_097,6,ok,0.956744,0.035491,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_097_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_097_page_adverserial.png,template,,,
fig_098,11,manual,0.561837,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_098_page.png,,below_threshold,,,
fig_099,7,ok,0.935217,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_099_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_099_page_adverserial.png,template,,,
fig_100,8,manual,0.534676,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_100_page.png,,below_threshold,,,
fig_101,6,ok,0.791828,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_101_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_101_page_adverserial.png,template,,,
fig_102,5,ok,0.87611,0.21606,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_102_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_102_page_adverserial.png,template,,,
fig_103,8,ok,0.780172,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_103_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_103_page_adverserial.png,template,,,
fig_104,13,manual,0.537457,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_104_page.png,,below_threshold,,,
fig_105,13,manual,0.059907,0.047134,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_105_page.png,,below_threshold,,,
fig_106,8,manual,0.534478,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_106_page.png,,below_threshold,,,
fig_107,1,ok,0.764977,0.232478,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_107_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_107_page_adverserial.png,template,,,
fig_108,5,manual,0.512675,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_108_page.png,,below_threshold,,,
fig_109,15,manual,0.544129,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_109_page.png,,below_threshold,,,
fig_110,18,manual,0.448026,0.205265,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_110_page.png,,below_threshold,,,
fig_111,15,manual,0.529482,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_111_page.png,,below_threshold,,,
fig_112,6,ok,0.791828,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_112_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_112_page_adverserial.png,template,,,
fig_113,6,ok,0.90649,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_113_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_113_page_adverserial.png,template,,,
fig_114,6,ok,0.90649,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_114_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_114_page_adverserial.png,template,,,
fig_115,3,ok,0.786206,0.526198,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_115_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_115_page_adverserial.png,embedded,,,
fig_116,4,manual,0.536286,0.181708,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_116_page.png,,below_threshold,,,
fig_117,7,ok,0.809564,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_117_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_117_page_adverserial.png,template,,,
fig_118,8,ok,0.935824,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_118_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_118_page_adverserial.png,template,,,
fig_119,15,manual,0.532701,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_119_page.png,,below_threshold,,,
fig_120,21,manual,0.415387,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_120_page.png,,below_threshold,,,
fig_121,23,ok,0.953175,0.857109,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_121_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_121_page_adverserial.png,template,,,
fig_122,9,manual,0.388859,0.25278,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_122_page.png,,below_threshold,,,check changes made before here
fig_123,1,ok,0.837955,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_123_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_123_page_adverserial.png,template,,,
fig_124,15,ok,0.802399,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_124_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_124_page_adverserial.png,template,,,
fig_125,13,manual,0.353384,0.353371,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_125_page.png,,below_threshold,,,
fig_126,7,ok,0.726497,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_126_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_126_page_adverserial.png,template,,,
fig_127,21,manual,0.438489,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_127_page.png,,below_threshold,,,
fig_128,14,ok,0.789716,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_128_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_128_page_adverserial.png,template,,,
fig_129,7,ok,0.872473,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_129_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_129_page_adverserial.png,template,,,
fig_130,12,ok,0.823854,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_130_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_130_page_adverserial.png,template,,,
fig_131,9,ok,0.923451,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_131_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_131_page_adverserial.png,template,,,
fig_132,9,ok,0.845634,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_132_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_132_page_adverserial.png,template,,,
fig_133,8,manual,0.398483,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_133_page.png,,below_threshold,,,
fig_134,4,ok,0.777745,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_134_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_134_page_adverserial.png,template,,,
fig_135,9,ok,0.763747,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_135_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_135_page_adverserial.png,template,,,
fig_136,21,ok,0.89274,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_136_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_136_page_adverserial.png,template,,,
fig_137,16,manual,0.347165,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_137_page.png,,below_threshold,,,
fig_138,21,manual,0.42535,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_138_page.png,,below_threshold,,,
fig_139,6,ok,0.696049,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_139_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_139_page_adverserial.png,template,,,
fig_140,7,ok,0.743622,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_140_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_140_page_adverserial.png,template,,,
fig_141,7,ok,0.743622,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_141_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_141_page_adverserial.png,template,,,
fig_142,14,ok,0.803365,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_142_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_142_page_adverserial.png,template,,,
fig_143,7,ok,0.829024,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_143_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_143_page_adverserial.png,template,,,
fig_144,8,ok,0.822454,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_144_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_144_page_adverserial.png,template,,,
fig_145,8,ok,0.948757,0.247245,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_145_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_145_page_adverserial.png,template,,,
fig_146,15,ok,0.622995,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_146_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_146_page_adverserial.png,template,,,
fig_147,13,manual,0.07586,0.046968,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_147_page.png,,below_threshold,,,
fig_148,8,manual,0.39797,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_148_page.png,,below_threshold,,,
fig_149,4,ok,0.782273,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_149_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_149_page_adverserial.png,template,,,
fig_150,11,ok,0.816718,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_150_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_150_page_adverserial.png,template,,,
fig_151,16,ok,0.807632,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_151_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_151_page_adverserial.png,template,,,
fig_152,6,ok,0.891067,0.622002,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_152_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_152_page_adverserial.png,template,,,
fig_153,9,ok,0.862796,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_153_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_153_page_adverserial.png,template,,,
fig_154,7,ok,0.857856,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_154_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_154_page_adverserial.png,template,,,
fig_155,1,ok,0.737904,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_155_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_155_page_adverserial.png,template,,,
fig_156,28,ok,0.906628,0.317136,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_156_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_156_page_adverserial.png,template,,,
fig_157,5,ok,0.908193,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_157_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_157_page_adverserial.png,template,,,
fig_158,15,manual,0.581823,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_158_page.png,,below_threshold,,,
fig_159,0,error,,,,,document closed,,,
fig_160,4,ok,0.859823,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_160_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_160_page_adverserial.png,template,,,
fig_161,1,ok,0.837955,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_161_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_161_page_adverserial.png,template,,,
fig_162,17,ok,0.925395,0.276874,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_162_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_162_page_adverserial.png,template,,,
fig_163,9,ok,0.831845,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_163_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_163_page_adverserial.png,template,,,
fig_164,6,ok,0.874789,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_164_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_164_page_adverserial.png,template,,,
fig_165,15,manual,0.490144,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_165_page.png,,below_threshold,,,
fig_166,14,ok,0.741194,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_166_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_166_page_adverserial.png,template,,,
fig_167,22,manual,0.536045,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_167_page.png,,below_threshold,,,
fig_168,5,ok,0.710975,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_168_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_168_page_adverserial.png,template,,,
fig_169,8,ok,0.755387,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_169_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_169_page_adverserial.png,template,,,
fig_170,9,ok,0.861538,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_170_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_170_page_adverserial.png,template,,,
fig_171,12,ok,0.810271,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_171_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_171_page_adverserial.png,template,,,
fig_172,5,manual,0.529634,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_172_page.png,,below_threshold,,,
fig_173,3,ok,0.7405,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_173_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_173_page_adverserial.png,template,,,
fig_174,8,manual,0.218784,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_174_page.png,,below_threshold,,,
fig_175,5,manual,0.5731,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_175_page.png,,below_threshold,,,
fig_176,7,manual,0.558584,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_176_page.png,,below_threshold,,,
fig_177,15,ok,0.757804,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_177_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_177_page_adverserial.png,template,,,
fig_178,23,ok,0.926017,0.291048,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_178_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_178_page_adverserial.png,template,,,
fig_179,6,ok,0.851401,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_179_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_179_page_adverserial.png,template,,,
fig_180,5,manual,0.58661,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_180_page.png,,below_threshold,,,
fig_181,6,ok,0.803845,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_181_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_181_page_adverserial.png,template,,,
fig_182,6,ok,0.790432,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_182_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_182_page_adverserial.png,template,,,
fig_183,5,ok,0.826402,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_183_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_183_page_adverserial.png,template,,,
fig_184,6,ok,0.632229,0.120919,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_184_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_184_page_adverserial.png,template,,,
